X1,X2,X3,X4,X5,X6
0.4899266391,-0.4515278957,-1.0479900502,-0.5986932777,-0.0204175579,0
-0.6412649903,0.1092450936,0.2921303357,-0.9168042258,0.2402227761,0
0.8705931195,-0.4598622337,0.5781592121,0.8066335685,0.835248172,0
-0.6284390837,-0.3162843733,1.9342948377,-1.4270993561,-0.136582573,0
-0.5963987718,0.0159376383,2.0432062486,-1.688447557,-0.9481272433,0
0.1647350579,-0.6427276911,-0.9806192819,-0.3864150934,-0.2420462724,0
2.4708037226,-0.7072768041,0.7871429094,-0.9162242109,-0.3507774005,0
-0.4871771054,-0.1172261184,1.4044768613,-1.3663622511,-0.6717473811,0
-0.6870395261,0.574783613,-0.1416534725,-0.1751810615,-0.136582573,0
-0.6009613197,-0.7640638084,-0.3140196386,1.2911469093,-1.5456438626,1
-0.5832561186,-0.526312511,0.0578081755,0.5300618587,1.3576928006,1
-0.1908304222,-0.2407665524,0.6557987087,-1.4093837917,2.9387232032,1
-0.8316401528,-0.802773301,-0.4563641187,0.5419232896,-0.136582573,1
-0.3236997812,1.0414031405,-1.4331662386,-0.7865419109,-0.3807797905,1
0.6815000818,0.3200534373,-0.3118833368,1.508865935,-0.8736928252,0
-0.3341209759,0.8273400223,-1.2103003616,-0.260763395,-0.3490001889,0
-0.8274758672,-0.9333520382,0.580666152,0.8555205415,-0.7427941524,0
-0.0137469701,1.1373073656,-1.4271268907,-0.7828647166,0.1428809165,0
0.256721985,1.1894307596,1.0094717394,-0.9640691657,-0.4275831714,1
-0.5855630118,0.1183631626,1.3201269781,-1.2842487083,0.7261450976,0
-0.7957010635,-0.6142266756,1.1693431873,0.8467449909,-0.8739534134,0
-0.333088056,1.5535072619,-1.4696605841,-0.7856116272,-0.3510588358,0
-0.7777583025,-0.7251898145,0.7448599101,1.1072997515,-1.3810198628,1
-0.3333244514,1.0344353379,-0.1471341618,-0.1974388208,-0.3095075235,0
-0.2547142439,0.1715675648,1.8507013588,-1.3804985458,-0.6094945935,1
-0.1394848734,1.2181127264,-0.1022988383,0.004991413,-0.815131704,0
-0.2328121509,1.1510197192,-1.2771427274,-0.7314919653,-0.3542258513,0
-0.8240557031,-1.1279558343,-0.3903311054,0.3713022299,-0.136582573,0
-0.1989389012,1.434067609,0.3230564651,-0.8990058022,-0.136582573,0
0.9897340771,1.1369548629,-0.2371333045,-0.2127928958,-0.3783233122,0
-0.4691726255,0.5056695905,-0.0092557087,-0.8170391463,-0.3891446722,0
-0.8835934591,-1.2143765626,-0.6973523618,-0.1692754549,1.4469303667,0
-0.3812859359,1.5809437194,-1.4682482692,-0.1078516223,-0.3912867074,0
-0.0842871275,-0.2696130204,0.6285141257,-1.7535837363,2.8551612485,1
0.5737363812,1.5657156042,0.1179174626,0.1694030488,-0.4409982528,0
-0.8126307013,-1.114160055,-0.1911223126,1.9831097474,-1.2687671455,0
-0.2249610285,1.243845421,0.0012583108,0.0151454406,-0.6664591775,0
2.4012592208,-0.4259550024,-0.2913923448,0.0961767911,-0.3326960528,0
0.1641178679,-0.1984309823,-0.2722607193,0.898544593,1.1306283897,1
-0.3951587365,0.2859664296,1.8701733662,-1.3690237915,0.5625825604,1
2.988859023,-1.8327155872,-0.679191095,-0.5989860471,-0.2327941746,0
0.3140624283,0.1925767236,-1.2445665561,-0.6553216924,0.0193007769,0
-0.6397406475,-0.3523277707,0.996115801,1.6402104423,-0.136582573,0
2.0401914337,-1.755186151,-0.6094787152,-0.3280212739,-0.3669964111,0
0.1079023407,1.2054226305,-1.3116693411,-0.700590477,-0.3079869044,0
-0.335367001,0.993979782,-1.2554360857,-0.7532864659,-0.3153704109,0
-0.8075953626,-0.8353504223,0.0329073465,0.5484980476,-0.136582573,1
0.0638279886,2.0812742517,-1.3620707196,-0.1951476362,0.6965162174,0
-0.5326954492,-0.6701147981,0.8083654524,0.3765236197,0.7675490906,1
-0.4115445484,1.1991245829,1.1456461218,0.476638968,-0.5765579802,0
-0.773546272,-0.8754523005,-0.2973398436,-1.2848852182,-0.136582573,0
-0.5917547083,0.275696852,-0.3694802811,-0.1192761589,-0.3329218959,0
1.0401689795,0.5934192539,-0.4206391444,0.1404437317,0.8874995839,0
0.2744574633,-0.0870283901,-0.5102092978,-0.2723021769,-0.381676214,0
-0.281776278,2.4553618298,-1.4978182738,-0.8086590604,-0.136582573,0
-0.6439585006,-0.6431025189,0.2567846442,0.9278843094,0.7940526495,1
-0.6354331272,0.8917305091,1.0841612594,0.3743378924,-0.136582573,0
-0.4611689523,0.6137821578,-1.5789501971,0.1155671172,1.785272895,0
-0.8310031662,-0.7814175146,-0.4744972905,-1.5145711321,-0.136582573,1
2.6377943718,-0.5607896217,-1.0056087182,-0.6105950083,-0.2421168049,0
0.0006545178,0.9685643399,-0.2950230853,-0.1457007354,-0.4672620705,0
-0.4134904436,0.6268130063,1.5249180345,-1.149799489,-0.7052590257,0
0.3186156601,0.5087011134,-0.3450051997,-0.8927938674,2.6573747923,0
-0.0984266007,-0.7185721645,0.6723963798,0.197479789,0.6471295386,1
-1.0389736001,-1.7724211813,-1.3072832769,1.4318319169,-2.1932490115,1
-0.6418216258,1.0636578088,0.2443299074,0.2906010611,-0.136582573,0
-0.7900182576,-0.7273189306,0.1700564098,1.883653507,-0.136582573,1
-0.3924128233,-0.4012786408,0.7246206926,-1.548729241,-1.460759857,1
0.4060004461,1.0547394914,-1.1383598309,-0.6531535414,0.0525714642,0
-0.7619687195,-0.2681795096,1.2772928842,-1.1837567269,-0.5323431089,0
0.171929397,1.1349103474,-1.1413324997,-0.682468149,-0.3216696968,0
0.917569429,1.2369598689,-1.2377697234,-0.2223392887,0.1468314338,0
0.0435573734,0.7236337383,0.454919343,-0.0411486495,-0.136582573,0
-0.6569497675,2.2168232765,-1.373968959,1.0983609932,-0.8057227321,0
-0.3057977781,2.5756827394,-1.471387347,-0.8079484793,-0.4028880948,0
-0.7817211281,-0.566126512,0.8301715073,1.5980903102,-0.136582573,0
-0.2785831932,0.5832554271,0.3483852027,-0.0816191287,-0.136582573,0
-0.5220576557,1.2518824817,-1.3190680556,-0.7114086344,-0.2812550703,0
1.2651754874,-0.9063162588,-0.9634553882,-0.4013911543,-0.0109046982,0
-0.7533618304,-0.358972446,1.3899430933,-1.4765035718,-1.1306692889,0
-0.8592937578,-1.1156570163,-0.3457648457,-1.3751026493,3.0316315886,0
-0.4382118138,-0.6508446525,-0.0064645769,1.0935526443,1.4622164714,1
0.0788746147,1.0673473367,-0.1277983072,0.0952590618,1.8170994025,0
0.0156021605,1.7065521689,-1.5166527404,-0.022790298,-0.136582573,0
2.746128682,-1.8023839079,-0.9458149597,-0.3878279696,-0.2653489393,0
-0.556506173,-0.2956277171,2.3164626983,-1.4703192567,0.5425259541,0
0.1583966332,0.2182741679,0.9112364348,0.3981159939,1.0610252771,1
1.2595858422,-0.8889108522,-0.6232733681,-0.3109936926,-0.4002092479,0
-0.4648744212,1.3338981017,0.6410920483,0.3466980466,-0.136582573,0
-0.7000866895,-0.7046706344,0.3055727204,2.2535950667,-1.7065727214,1
-0.3866275406,1.4194387484,-1.2883493971,-0.7676236315,-0.3467174361,0
0.0609411698,-0.3495441747,0.7597394629,0.9203265391,2.1892541205,1
-0.814264508,-0.9583080518,-0.4747858047,-0.8998080306,1.4335969363,1
-0.5718357749,-0.1982077306,1.3818819848,0.8333368534,1.6757737265,1
1.0865630343,0.2476258898,0.5364597246,-1.0486446334,0.9888736118,1
0.4402020874,0.1627667483,-0.4447738439,-0.2690807087,0.0706337021,0
-0.7937085879,-0.8695373057,-0.0054380283,1.5215584696,-0.136582573,1
-0.1465091942,0.5333645499,-1.3433259409,-0.7781442487,-0.4074970317,0
-0.7435683063,-0.4965366109,1.3605513841,0.8245487484,-0.136582573,0
-0.4638845882,-0.2397560447,1.6643449553,-1.187614705,0.4618374188,0
0.6433274634,0.2138091341,-1.1369853362,-0.29058018,-0.4336461906,0
-0.2088942922,1.4142569592,0.3975838984,-0.9213250782,-0.136582573,0
-0.3362264089,0.0162196404,0.2568386731,0.419886641,-1.338629109,1
-0.4598693598,-0.6040487487,0.0017467318,1.0375849695,1.7179542724,1
-0.3616371687,1.9718456745,-1.3647926944,-0.1709062762,-0.4129641725,0
1.3237153753,0.0808216288,0.059932591,0.0652803246,-0.5815942818,0
-0.7561170597,0.1141331306,0.0602308304,-0.0830942749,-0.136582573,0
-0.5434147583,0.6689018245,-1.2332323782,-0.7072619042,-0.136582573,0
-0.7395425973,-0.8967129112,-0.2705890658,0.9022230427,1.7854987381,1
1.1782681502,1.7532940223,-1.2284529838,-0.7130570318,-0.3086376801,0
-0.1847283929,-0.4389482506,0.8512211579,-1.0341969887,0.4625392697,1
-0.6407805544,-0.1517361293,1.5606311224,-1.4876117366,-0.6971564694,0
1.828565139,-0.728036861,-0.9419843123,-0.3377220864,-0.2287097149,0
-0.6016879736,-0.7968312811,1.3688069965,0.9080985186,2.3094026608,1
0.4378148431,-2.4629351265,-1.1139917266,-0.3200228428,-0.2858292621,0
1.906296142,-0.3460814235,-0.0849101844,0.5647208896,-0.5823586739,0
-0.6761164279,-0.9204222404,0.5045934928,1.5544636458,1.2264154062,0
-0.5459929821,-0.7922146712,0.1541892091,2.2456857721,2.6987040834,1
-0.3119452232,1.2330940897,-1.3851680646,-0.7384609326,-0.3490575183,0
-0.5005957473,-0.8328817286,0.1430570992,0.9182801661,-0.136582573,1
-0.42282748,1.2411194004,1.1966493819,0.3822258445,-0.6455947477,0
-0.1144164794,-0.8888744269,0.1147578539,2.0381609484,-1.1150774272,0
0.0485612703,0.6483979195,-1.1406312049,-0.2344631074,-0.580961921,0
-0.134299313,-0.5879993024,0.8118881352,1.8908471987,-1.6134280694,1
3.3524188602,-0.9660208101,-0.9440168787,-0.6038223924,-0.2099332916,0
0.3483572304,1.4908557883,-1.2009231096,-0.690732734,0.1911123208,0
-0.850033346,-0.7556472198,0.7413372273,1.468679186,-0.136582573,0
-0.7787574516,-0.2369830238,-0.1290841945,1.1541403514,1.8738728885,1
-0.8621286395,-1.1568258026,-0.3913976355,0.9518005096,2.7084674552,0
-0.3535869151,-0.9425300325,1.0261882741,0.8271349621,-0.7622079745,1
-0.6171829357,-0.5009511193,1.0808006632,0.5473719148,0.7134318671,0
-0.6899868994,-0.5311241724,1.4940783514,-1.3826553979,0.5504026672,0
-0.0079337391,-0.5840559726,1.5959768139,-1.4943095281,0.5668770543,0
-0.6600135918,1.4560872755,-1.3987768583,-0.0645275198,-0.3749217674,0
0.7192068965,0.7649353005,0.8838221824,0.2059126035,-0.4237421011,1
-0.4905716504,0.33892408,0.500346823,0.084218691,-0.6030024724,0
0.5259099798,0.5693785721,-1.1662009113,-1.008377536,2.4583896303,0
-0.4196565209,-0.8438798118,1.2906920457,0.8884759355,-1.5005256188,1
0.4845466056,0.8665148184,-1.2143190295,-0.236630003,0.1083095465,0
